	coach	race	mu	phi	value
9994	Phlogiston	Humans	1425.665	215.089	887.9425
56868	Stoneburner	Dwarves	1320.381	172.987	887.9135000000001
62280	Andreas	Dwarves	1343.748	182.335	887.9105
26147	Punisher_Ketil	Undead	1339.068	180.464	887.908
38466	TripleP	Norse	1357.279	187.764	887.8689999999999
57847	templar	Dwarves	1263.624	150.309	887.8515
61340	TheCount	Dwarves	1411.127	209.329	887.8045
45327	Papa_Ours	Norse	1292.827	162.017	887.7845
129725	sawamura	Goblins	1262.248	149.849	887.6255000000001
30492	Norel	Orc	1375.395	195.112	887.615
64106	Kikko	Chaos Dwarves	1402.773	206.073	887.5904999999999
122234	Handycapyann	Chaos	1389.41	200.728	887.59
174556	Dr.Evil	Ogres	1279.475	156.754	887.5899999999999
188593	Tado	Vampires	1321.128	173.431	887.5504999999998
141336	McMardigan	Necromantic	1572.431	273.957	887.5385000000001
170993	Sizzler	Nurgle's Rotters	1249.483	144.808	887.463
135470	AlnSuperman	Goblins	1298.57	164.465	887.4074999999999
43789	commodore_protheus	Norse	1330.516	177.268	887.346
70647	chaosmaster	Chaos Dwarves	1386.407	199.63	887.3319999999999
13348	mr-t027	Humans	1369.14	192.778	887.1950000000002
81354	Darb27	Lizardmen	1399.82	205.083	887.1125
63298	Bneus	Dwarves	1454.047	226.781	887.0945
143691	Megapeine	Necromantic	1382.617	198.224	887.057
135226	duffins	Goblins	1366.472	191.777	887.0295
187467	LRO_DEMONS	Vampires	1329.208	176.876	887.018
15351	BooBoo	Humans	1287.828	160.333	886.9955
8793	DonWaldorf	Wood Elves	1437.806	220.358	886.9110000000001
41640	metzelder	Norse	1330.369	177.384	886.9089999999999
14047	blacknight12345	Humans	1421.629	213.902	886.8739999999999
35318	Bitterman	Orc	1555.211	267.339	886.8635
31603	mao75	Orc	1449.99	225.251	886.8625
66466	Plt44	Chaos Dwarves	1491.781	241.981	886.8285
22704	Claudius	Undead	1379.33	197.003	886.8225
145338	adamjb	Necromantic	1393.97	202.911	886.6925
42715	acrtvince	Norse	1310.69	169.603	886.6825
106787	humongeloid	Halflings	1382.822	198.457	886.6795
29610	Ako	Orc	1334.031	178.957	886.6385
214044	Legendary	Underworld	1379.749	197.246	886.634
74628	tuss	Lizardmen	1429.876	217.325	886.5635
50845	Norse	Skaven	1392.032	202.194	886.547
60384	Azylius	Dwarves	1348.199	184.672	886.519
118930	Brocki-6	Chaos	1306.996	168.196	886.5060000000001
163846	inyector	Nurgle's Rotters	1208.39	128.768	886.47
31994	wiggin	Orc	1333.244	178.712	886.4639999999999
74774	feerikon	Lizardmen	1319.552	173.239	886.4544999999998
181405	wolimorb	Ogres	1241.0	141.832	886.4200000000001
34018	Raven_Avalon	Orc	1326.029	175.849	886.4065
119209	frans	Chaos	1584.963	279.427	886.3954999999999
8775	Spieroz	Wood Elves	1662.309	310.392	886.329
141958	snakees	Necromantic	1345.977	183.87	886.3020000000001
46176	Kukko	Skaven	1260.534	149.736	886.1940000000002
88160	rewired	Dark Elves	1326.983	176.318	886.1879999999999
124538	Tupiboy	Chaos	1282.597	158.576	886.1569999999999
21710	el_vagabundo	Undead	1291.291	162.06	886.141
185798	Poups	Vampires	1334.864	179.491	886.1365000000001
60608	irishdave	Dwarves	1266.832	152.32	886.0320000000002
101579	WARPIG197	Halflings	1465.861	231.97	885.9360000000001
50606	stirling	Skaven	1357.944	188.805	885.9314999999999
28099	Frantic	Orc	1500.0	245.634	885.9150000000001
120409	Bazman	Chaos	1382.437	198.624	885.877
